HOG	OG	Gene Tree Parent Clade	alpc	cambac	camdro	camfer	guanc	llama	vicgn
N3.HOG0002608	OG0001924	n0	rna-XM_006205840.3	rna-XM_010970493.1	rna-XM_031462808.1	rna-XM_032493365.1	rna-XM_006205840.3	rna-XM_006205840.3	rna-XM_006205840.3
N3.HOG0002609	OG0001925	n0	rna-XM_031683171.1	rna-XM_010970458.1	"rna-XM_031446790.1, rna-XM_031462872.1"	rna-XM_006193707.3	rna-XM_031683171.1	rna-XM_031683171.1	rna-XM_031683171.1
N3.HOG0002610	OG0001926	n0	rna-XM_006205893.3	rna-XM_010970560.1	rna-XM_031462916.1	rna-XM_032493456.1	rna-XM_006205893.3	rna-XM_006205893.3	rna-XM_006205893.3
N3.HOG0002611	OG0001927	n0	rna-XM_031683206.1	rna-XM_010962818.1	rna-XM_031462955.1	rna-XM_032493544.1	rna-XM_031683206.1	rna-XM_031683206.1	rna-XM_031683206.1
N3.HOG0002612	OG0001928	n0	rna-XM_031683207.1	rna-XM_010962817.1	rna-XM_031462956.1	rna-XM_032493545.1	rna-XM_031683207.1	rna-XM_031683207.1	rna-XM_031683207.1
N3.HOG0002613	OG0001929	n0	rna-XM_031683239.1	"rna-XM_010962812.1, rna-XM_010962813.1"	rna-XM_031462988.1	rna-XM_032493588.1	rna-XM_031683239.1	rna-XM_031683239.1	rna-XM_031683239.1
N3.HOG0002614	OG0001930	n3	rna-XM_031683269.1	rna-XM_010949446.1	rna-XM_031463033.1	rna-XM_032493636.1	rna-XM_031683269.1	rna-XM_031683269.1	rna-XM_031683269.1
N3.HOG0002615	OG0001930	n10			rna-XM_031463034.1				
N3.HOG0002616	OG0001931	n0	rna-XM_006220549.3	rna-XM_010952459.1	rna-XM_010986951.2	rna-XM_006186968.3	rna-XM_006220549.3	rna-XM_006220549.3	rna-XM_006220549.3
N3.HOG0002617	OG0001932	n0	rna-XM_031683364.1	rna-XM_010958863.1	rna-XM_010988219.2	rna-XM_032493756.1	rna-XM_031683364.1	rna-XM_031683364.1	rna-XM_031683364.1
N3.HOG0002618	OG0001933	n0	rna-XM_006197827.3	"rna-XM_010958867.1, rna-XM_010958883.1"	rna-XM_010988223.2	rna-XM_032493767.1	rna-XM_006197827.3	rna-XM_006197827.3	rna-XM_006197827.3
N3.HOG0002619	OG0001934	n0	rna-XM_006197825.3	rna-XM_010958868.1	"rna-XM_031463127.1, rna-XM_031446976.1"	rna-XM_032493764.1	rna-XM_006197825.3	rna-XM_006197825.3	rna-XM_006197825.3
N3.HOG0002620	OG0001935	n0	rna-XM_015241577.2	rna-XM_010946019.1	rna-XM_031463176.1	rna-XM_032492120.1	rna-XM_006207033.3	rna-XM_031683354.1	rna-XM_031683354.1
N3.HOG0002621	OG0001936	n0	rna-XM_006218605.2	rna-XM_010963822.1	rna-XM_010976835.2	rna-XM_032493057.1	rna-XM_006218605.2	rna-XM_006218605.2	rna-XM_006218605.2
N3.HOG0002622	OG0001937	n0	rna-XM_006218600.2	rna-XM_010963823.1	rna-XM_031463692.1	rna-XM_032493060.1	rna-XM_006218600.2	rna-XM_006218600.2	rna-XM_006218600.2
N3.HOG0002623	OG0001938	n0	rna-XM_006218550.3	rna-XM_010963902.1	rna-XM_010976905.2	rna-XM_006179811.3	rna-XM_006218550.3	rna-XM_006218550.3	rna-XM_006218550.3
N3.HOG0002624	OG0001939	n0	rna-XM_031683478.1	rna-XM_010963459.1	rna-XM_031465367.1	rna-XM_032494562.1	rna-XM_006205409.3	rna-XM_006205409.3	rna-XM_006205409.3
N3.HOG0002625	OG0001940	n0	rna-XM_031683492.1	rna-XM_010963403.1	rna-XM_010989036.2	rna-XM_032494576.1	rna-XM_031683492.1	rna-XM_031683492.1	rna-XM_031683492.1
N3.HOG0002626	OG0001941	n0	rna-XM_006205963.3	rna-XM_010963372.1	rna-XM_010989059.2	rna-XM_006186994.3	rna-XM_006205963.3	rna-XM_006205963.3	rna-XM_006205963.3
N3.HOG0002627	OG0001942	n0	rna-XM_006196618.3	rna-XM_010957591.1	rna-XM_031463997.1	rna-XM_032495121.1	rna-XM_006196618.3	rna-XM_006196618.3	rna-XM_006196618.3
N3.HOG0002628	OG0001943	n0	rna-XM_006196622.3	rna-XM_010957587.1	rna-XM_031464000.1	rna-XM_014553921.2	rna-XM_006196622.3	rna-XM_031683644.1	rna-XM_031683644.1
N3.HOG0002629	OG0001944	n0	rna-XM_015238696.2	rna-XM_010957558.1	rna-XM_031464038.1	rna-XM_032495165.1	rna-XM_015238696.2	rna-XM_006196639.2	rna-XM_006196639.2
N3.HOG0002630	OG0001945	n0	rna-XM_006196649.3	rna-XM_010957791.1	"rna-XM_031464054.1, rna-XM_031466477.1"	rna-XM_032495180.1	rna-XM_006196649.3	rna-XM_006196649.3	rna-XM_006196649.3
N3.HOG0002631	OG0001946	n0	rna-XM_031683696.1	"rna-XM_010957509.1, rna-XM_010957776.1"	rna-XM_031464101.1	rna-XM_032495229.1	rna-XM_031683696.1	rna-XM_031683696.1	rna-XM_031683696.1
N3.HOG0002632	OG0001947	n0	rna-XM_006196678.2	rna-XM_010957502.1	rna-XM_011000876.2	rna-XM_006188236.2	rna-XM_006196678.2	rna-XM_006196678.2	rna-XM_006196678.2
N3.HOG0002633	OG0001948	n0	rna-XM_006196699.3	rna-XM_010957466.1	rna-XM_031464179.1	rna-XM_032495285.1	rna-XM_006196699.3	rna-XM_006196699.3	rna-XM_006196699.3
N3.HOG0002634	OG0001949	n0	rna-XM_006196700.3	rna-XM_010957467.1	rna-XM_011000909.2	rna-XM_014562258.2	rna-XM_006196700.3	rna-XM_006196700.3	rna-XM_006196700.3
N3.HOG0002635	OG0001950	n0	rna-XM_006196701.3	rna-XM_010957468.1	rna-XM_031464180.1	rna-XM_032495282.1	rna-XM_006196701.3	rna-XM_006196701.3	rna-XM_006196701.3
N3.HOG0002636	OG0001951	n0	rna-XM_006196702.2	rna-XM_010957465.1	rna-XM_011000911.2	rna-XM_032494771.1	rna-XM_006196702.2	rna-XM_006196702.2	rna-XM_006196702.2
N3.HOG0002637	OG0001952	n0	rna-XM_031683599.1	rna-XM_010957767.1	rna-XM_031464183.1	rna-XM_032495297.1	rna-XM_031683599.1	rna-XM_031683599.1	rna-XM_031683599.1
N3.HOG0002638	OG0001953	n0	rna-XM_006196712.3	rna-XM_010957760.1	rna-XM_031464216.1	rna-XM_032495317.1	rna-XM_006196712.3	rna-XM_006196712.3	rna-XM_006196712.3
N3.HOG0002639	OG0001954	n0	rna-XM_015239318.2	rna-XM_010957445.1	rna-XM_031464231.1	rna-XM_032495331.1	rna-XM_015239318.2	rna-XM_015239318.2	rna-XM_015239318.2
N3.HOG0002640	OG0001955	n0	rna-XM_006197055.3	rna-XM_010957436.1	rna-XM_010979794.2	rna-XM_006188329.3	rna-XM_006197055.3	rna-XM_006197055.3	rna-XM_006197055.3
N3.HOG0002641	OG0001956	n0	rna-XM_006220448.3	rna-XM_010957381.1	rna-XM_031464326.1	rna-XM_032495437.1	rna-XM_006220448.3	rna-XM_006220448.3	rna-XM_006220448.3
N3.HOG0002642	OG0001957	n0	rna-XM_015239662.2	rna-XM_010957372.1	rna-XM_031464330.1	rna-XM_032495449.1	rna-XM_015239662.2	rna-XM_031683797.1	rna-XM_031683797.1
N3.HOG0002643	OG0001958	n0	rna-XM_015239672.2	rna-XM_010957370.1	rna-XM_031464332.1	rna-XM_032495439.1	rna-XM_006196757.3	rna-XM_006196757.3	rna-XM_015239672.2
N3.HOG0002644	OG0001959	n0	rna-XM_015237675.2	rna-XM_010957753.1	rna-XM_010979863.2	rna-XM_014557939.2	rna-XM_015237675.2	rna-XM_015237675.2	rna-XM_015237675.2
N3.HOG0002645	OG0001960	n0	rna-XM_031683812.1	"rna-XM_010948085.1, rna-XM_010957751.1"	rna-XM_031464357.1	rna-XM_032495485.1	rna-XM_031683812.1	rna-XM_031683812.1	rna-XM_031683812.1
N3.HOG0002646	OG0001961	n0	rna-XM_031683604.1	rna-XM_010948083.1	rna-XM_010993772.2	rna-XM_032495519.1	rna-XM_031683604.1	rna-XM_031683604.1	rna-XM_031683604.1
N3.HOG0002647	OG0001962	n0	rna-XM_031683866.1	"rna-XM_010948018.1, rna-XM_010948019.1"	rna-XM_010993732.2	rna-XM_032495570.1	rna-XM_015240154.2	rna-XM_015240154.2	rna-XM_015240154.2
N3.HOG0002648	OG0001963	n0	rna-XM_015240198.2	rna-XM_010948012.1	rna-XM_031464439.1	rna-XM_032495580.1	rna-XM_015240198.2	rna-XM_006196821.3	rna-XM_006196821.3
N3.HOG0002649	OG0001964	n0	rna-XM_006196866.3	rna-XM_010947967.1	rna-XM_010996896.2	rna-XM_006173710.3	rna-XM_006196866.3	rna-XM_006196866.3	rna-XM_006196866.3
N3.HOG0002650	OG0001965	n0	rna-XM_006196869.2	rna-XM_010947965.1	rna-XM_010996898.2	rna-XM_006173714.3	rna-XM_006196869.2	rna-XM_006196869.2	rna-XM_006196869.2
N3.HOG0002651	OG0001966	n0	rna-XM_015240446.2	rna-XM_010947964.1	rna-XM_031464490.1	rna-XM_032495649.1	rna-XM_015240446.2	rna-XM_015240446.2	rna-XM_015240446.2
N3.HOG0002652	OG0001967	n0	rna-XM_031683951.1	rna-XM_010952182.1	rna-XM_031464613.1	rna-XM_032495789.1	rna-XM_031683951.1	rna-XM_031683951.1	rna-XM_031683951.1
N3.HOG0002653	OG0001968	n0	rna-XM_031683607.1	rna-XM_010952212.1	"rna-XM_031464628.1, rna-XM_031444487.1"	rna-XM_032495807.1	rna-XM_031683607.1	rna-XM_031683607.1	rna-XM_031683607.1
N3.HOG0002654	OG0001969	n0	rna-XM_031684048.1	"rna-XM_010959864.1, rna-XM_010959954.1"	rna-XM_031464799.1	rna-XM_032495995.1	rna-XM_031684047.1	rna-XM_031684047.1	rna-XM_031684047.1
N3.HOG0002655	OG0001970	n3			rna-XM_010977499.2	rna-XM_032495999.1			
N3.HOG0002656	OG0001970	n6	rna-XM_031684051.1	rna-XM_010959862.1		rna-XM_032473544.1	rna-XM_031684051.1	rna-XM_031684051.1	rna-XM_031684051.1
N3.HOG0002657	OG0001971	n0	rna-XM_031683561.1	rna-XM_010959819.1	rna-XM_031464870.1	rna-XM_006188023.3	rna-XM_031683560.1	rna-XM_031683560.1	rna-XM_006219435.2
N3.HOG0002658	OG0001972	n0	rna-XM_006215852.3	rna-XM_010959798.1	rna-XM_031464895.1	"rna-XM_032473560.1, rna-XM_032493938.1"	rna-XM_006215852.3	rna-XM_006215852.3	rna-XM_006215852.3
N3.HOG0002659	OG0001973	n0	rna-XM_006215878.3	rna-XM_010959945.1	rna-XM_010999273.2	rna-XM_032493972.1	rna-XM_006215878.3	rna-XM_006215878.3	rna-XM_006215878.3
N3.HOG0002660	OG0001974	n0	rna-XM_031684086.1	rna-XM_010959773.1	rna-XM_031464928.1	"rna-XM_032493992.1, rna-XM_032493985.1"	rna-XM_031684088.1	rna-XM_031684088.1	rna-XM_031684086.1
N3.HOG0002661	OG0001975	n0	rna-XM_031684097.1	rna-XM_010959764.1	rna-XM_010994839.2	rna-XM_032493991.1	rna-XM_006215833.3	rna-XM_006215833.3	rna-XM_031684097.1
N3.HOG0002662	OG0001976	n0	rna-XM_006215828.3	rna-XM_010959758.1	rna-XM_031464943.1	rna-XM_032494004.1	rna-XM_006215828.3	rna-XM_006215828.3	rna-XM_006215828.3
N3.HOG0002663	OG0001977	n0	rna-XM_015236081.2	rna-XM_010948813.1	rna-XM_010982298.2	rna-XM_032494080.1	rna-XM_006200384.2	rna-XM_006200380.3	rna-XM_006200384.2
N3.HOG0002664	OG0001978	n0	rna-XM_006200408.2	rna-XM_010946096.1	rna-XM_010982263.2	rna-XM_006178437.2	rna-XM_006200408.2	rna-XM_006200408.2	rna-XM_006200408.2
N3.HOG0002665	OG0001979	n0	rna-XM_015236123.2	rna-XM_010950795.1	rna-XM_010984683.2	rna-XM_014553960.2	rna-XM_015236123.2	rna-XM_006200431.3	rna-XM_015236123.2
N3.HOG0002666	OG0001980	n0	rna-XM_006200435.2	rna-XM_010950886.1	rna-XM_010984693.2	rna-XM_032494179.1	rna-XM_006200435.2	rna-XM_006200435.2	rna-XM_006200435.2
N3.HOG0002667	OG0001981	n0	rna-XM_031684223.1	rna-XM_010951033.1	rna-XM_031465069.1	rna-XM_032494194.1	rna-XM_006200447.3	rna-XM_031684223.1	rna-XM_006200447.3
N3.HOG0002668	OG0001982	n0	rna-XM_015236132.2	rna-XM_010951080.1	rna-XM_010984714.2	rna-XM_032494195.1	rna-XM_015236132.2	rna-XM_006200449.3	rna-XM_015236132.2
N3.HOG0002669	OG0001983	n0	rna-XM_006200569.2	rna-XM_010951839.1	"rna-XM_031465571.1, rna-XM_031465101.1"	rna-XM_032494242.1	rna-XM_006200569.2	rna-XM_006200569.2	rna-XM_006200569.2
N3.HOG0002670	OG0001984	n0	rna-XM_006200505.2	rna-XM_010951774.1	rna-XM_010982128.2	"rna-XM_006191671.2, rna-XM_006180144.3"	rna-XM_006200505.2	rna-XM_006200505.2	rna-XM_006200505.2
N3.HOG0002671	OG0001985	n0	rna-XM_006200520.3	rna-XM_010951752.1	rna-XM_010984603.2	rna-XM_006180131.3	rna-XM_006200519.3	rna-XM_006200519.3	rna-XM_006200519.3
N3.HOG0002672	OG0001986	n0	rna-XM_006200525.3	rna-XM_010951744.1	rna-XM_010984595.2	rna-XM_006180126.3	rna-XM_006200525.3	rna-XM_006200525.3	rna-XM_006200525.3
N3.HOG0002673	OG0001987	n4			rna-XM_031465298.1	rna-XM_032494476.1			
N3.HOG0002674	OG0001987	n6	rna-XM_031684368.1	rna-XM_010949651.1			rna-XM_031684368.1	rna-XM_031684368.1	
N3.HOG0002675	OG0001987	n10		rna-XM_010949974.1					
N3.HOG0002676	OG0001988	n0	rna-XM_031684399.1	rna-XM_010959665.1	"rna-XM_031466281.1, rna-XM_031446797.1"	rna-XM_032496708.1	rna-XM_031684399.1	rna-XM_031684399.1	rna-XM_031684399.1
N3.HOG0002677	OG0001989	n3	rna-XM_031684439.1	rna-XM_010959719.1	rna-XM_010980224.2	rna-XM_032496783.1	rna-XM_031684439.1	rna-XM_031684439.1	rna-XM_031684439.1
N3.HOG0002678	OG0001989	n10		rna-XM_010959695.1					
N3.HOG0002679	OG0001990	n0	rna-XM_006214817.3	rna-XM_010973569.1	"rna-XM_031465638.1, rna-XM_031465639.1"	rna-XM_032496028.1	rna-XM_006214817.3	rna-XM_006214817.3	rna-XM_006214817.3
N3.HOG0002680	OG0001991	n0	rna-XM_031684463.1	rna-XM_010973541.1	rna-XM_031466126.1	rna-XM_032496863.1	rna-XM_031684463.1	rna-XM_031684463.1	rna-XM_006210291.2
N3.HOG0002681	OG0001992	n0	rna-XM_031684466.1	"rna-XM_010973572.1, rna-XM_010973547.1"	rna-XM_031466119.1	rna-XM_032496868.1	rna-XM_031684465.1	rna-XM_031684465.1	rna-XM_031684466.1
N3.HOG0002682	OG0001993	n0	rna-XM_031684708.1	rna-XM_010973306.1	rna-XM_031466092.1	rna-XM_032496032.1	rna-XM_031684708.1	rna-XM_031684708.1	rna-XM_031684708.1
N3.HOG0002683	OG0001994	n0	rna-XM_031684710.1	rna-XM_010973305.1	rna-XM_031466068.1	rna-XM_032496061.1	rna-XM_031684710.1	rna-XM_031684710.1	rna-XM_031684710.1
N3.HOG0002684	OG0001995	n0	rna-XM_031684713.1	"rna-XM_010951602.1, rna-XM_010973262.1"	rna-XM_031466045.1	rna-XM_032496083.1	rna-XM_031684713.1	rna-XM_031684713.1	rna-XM_031684713.1
N3.HOG0002685	OG0001996	n0	rna-XM_006209432.3	rna-XM_010951384.1	rna-XM_010980855.2	rna-XM_006176252.3	rna-XM_006209432.3	rna-XM_006209432.3	rna-XM_006209432.3
N3.HOG0002686	OG0001997	n0	rna-XM_006209445.3	rna-XM_010951400.1	rna-XM_031465997.1	rna-XM_032496144.1	rna-XM_006209445.3	rna-XM_006209445.3	rna-XM_006209445.3
N3.HOG0002687	OG0001998	n0	rna-XM_031684600.1	"rna-XM_010951465.1, rna-XM_010951613.1"	rna-XM_010982420.2	rna-XM_032496263.1	rna-XM_031684600.1	rna-XM_031684600.1	rna-XM_031684600.1
N3.HOG0002688	OG0001999	n0	rna-XM_006210110.3	rna-XM_010951495.1	rna-XM_031465923.1	"rna-XM_032482884.1, rna-XM_032496282.1"	rna-XM_006210110.3	rna-XM_006210110.3	rna-XM_006210110.3
N3.HOG0002689	OG0002000	n0	rna-XM_006208995.3	rna-XM_010951510.1	rna-XM_031466412.1	rna-XM_032496320.1	rna-XM_006208995.3	rna-XM_006208995.3	rna-XM_006208995.3
N3.HOG0002690	OG0002001	n5	rna-XM_006208969.3	rna-XM_010951513.1			rna-XM_006208969.3	rna-XM_031684638.1	rna-XM_031684638.1
N3.HOG0002691	OG0002001	n9		rna-XM_010951514.1					
N3.HOG0002692	OG0002001	n10			rna-XM_031465852.1	rna-XM_006183204.3			
N3.HOG0002693	OG0002002	n0	rna-XM_006208970.3	rna-XM_010951517.1	rna-XM_010994119.2	rna-XM_032496337.1	rna-XM_006208970.3	rna-XM_006208970.3	rna-XM_006208970.3
N3.HOG0002694	OG0002003	n0	rna-XM_031684722.1	rna-XM_010951525.1	rna-XM_010994176.2	rna-XM_032496335.1	rna-XM_031684722.1	rna-XM_031684722.1	rna-XM_031684722.1
N3.HOG0002695	OG0002004	n0	rna-XM_006208978.3	rna-XM_010951535.1	rna-XM_031465834.1	rna-XM_032496356.1	rna-XM_006208978.3	rna-XM_006208978.3	rna-XM_006208978.3
N3.HOG0002696	OG0002005	n0	rna-XM_031684487.1	rna-XM_010951566.1	rna-XM_031465780.1	rna-XM_032496428.1	rna-XM_031684487.1	rna-XM_031684487.1	rna-XM_031684487.1
N3.HOG0002697	OG0002006	n0	rna-XM_006216238.3	rna-XM_010951578.1	"rna-XM_031465731.1, rna-XM_031465629.1"	rna-XM_032496457.1	rna-XM_006216238.3	rna-XM_006216238.3	rna-XM_006216238.3
N3.HOG0002698	OG0002007	n0	rna-XM_015249504.2	rna-XM_010951583.1	rna-XM_031465728.1	rna-XM_032496494.1	rna-XM_015249504.2	rna-XM_015249504.2	rna-XM_015249504.2
N3.HOG0002699	OG0002008	n0	rna-XM_031684701.1	"rna-XM_010951591.1, rna-XM_010951592.1"	rna-XM_031465678.1	rna-XM_032496520.1	rna-XM_031684701.1	rna-XM_031684701.1	rna-XM_031684701.1
N3.HOG0002700	OG0002009	n0	rna-XM_031684494.1	"rna-XM_010951594.1, rna-XM_010951597.1"	rna-XM_031465673.1	rna-XM_032496535.1	rna-XM_031684494.1	rna-XM_031684494.1	rna-XM_031684494.1
N3.HOG0002701	OG0002010	n0	rna-XM_031685032.1	rna-XM_010957854.1	rna-XM_031466492.1	rna-XM_032497939.1	rna-XM_031685032.1	rna-XM_031685032.1	rna-XM_031685032.1
N3.HOG0002702	OG0002011	n0	rna-XM_031684741.1	rna-XM_010963071.1	rna-XM_031466493.1	rna-XM_032496940.1	rna-XM_031684741.1	rna-XM_031684741.1	rna-XM_031684741.1
N3.HOG0002703	OG0002012	n0	rna-XM_006211758.3	rna-XM_010956939.1	rna-XM_031466499.1	rna-XM_032496951.1	rna-XM_006211758.3	rna-XM_006211758.3	rna-XM_006211758.3
N3.HOG0002704	OG0002013	n0	rna-XM_006197101.3	rna-XM_010964031.1	rna-XM_031466547.1	rna-XM_032497005.1	rna-XM_006197101.3	rna-XM_006197101.3	rna-XM_006197101.3
N3.HOG0002705	OG0002014	n0	rna-XM_006197106.3	rna-XM_010964025.1	rna-XM_031466561.1	rna-XM_032497021.1	rna-XM_006197106.3	rna-XM_006197106.3	rna-XM_006197106.3
N3.HOG0002706	OG0002015	n0	rna-XM_031684789.1	rna-XM_010947361.1	rna-XM_031466619.1	rna-XM_032497079.1	rna-XM_031684789.1	rna-XM_031684789.1	rna-XM_031684789.1
N3.HOG0002707	OG0002016	n0	rna-XM_031684808.1	rna-XM_010948584.1	rna-XM_031466653.1	"rna-XM_032497110.1, rna-XM_032475773.1"	rna-XM_031684808.1	rna-XM_031684808.1	rna-XM_031684808.1
N3.HOG0002708	OG0002017	n0	rna-XM_006197299.3	rna-XM_010948517.1	rna-XM_031466731.1	rna-XM_014563470.2	rna-XM_006197299.3	rna-XM_006197299.3	rna-XM_006197299.3
N3.HOG0002709	OG0002018	n0	rna-XM_006197190.3	rna-XM_010948512.1	rna-XM_031466742.1	rna-XM_006189708.3	rna-XM_006197190.3	rna-XM_006197190.3	rna-XM_006197190.3
N3.HOG0002710	OG0002019	n0	rna-XM_031684888.1	rna-XM_010948497.1	rna-XM_031466755.1	"rna-XM_032497234.1, rna-XM_014563467.2"	rna-XM_031684888.1	rna-XM_031684888.1	rna-XM_031684888.1
N3.HOG0002711	OG0002020	n0	rna-XM_031684891.1	rna-XM_010948491.1	rna-XM_031466764.1	rna-XM_032497247.1	rna-XM_006197207.3	rna-XM_006197207.3	rna-XM_006197207.3
N3.HOG0002712	OG0002021	n0	rna-XM_031684935.1	rna-XM_010967759.1	"rna-XM_031446881.1, rna-XM_031467382.1"	rna-XM_032497324.1	rna-XM_015242776.2	rna-XM_015242776.2	rna-XM_015242776.2
N3.HOG0002713	OG0002022	n0	rna-XM_031684966.1	rna-XM_010967761.1	rna-XM_010999649.2	rna-XM_032497337.1	rna-XM_031684966.1	rna-XM_031684965.1	rna-XM_031684966.1
N3.HOG0002714	OG0002023	n0	"rna-XM_031672553.1, rna-XM_031684982.1"		rna-XM_031466852.1	rna-XM_032497360.1	rna-XM_031684982.1	rna-XM_015248943.2	"rna-XM_031672553.1, rna-XM_031684982.1"
N3.HOG0002715	OG0002024	n0	rna-XM_031684988.1	rna-XM_010967663.1	rna-XM_031466856.1	rna-XM_032497362.1	rna-XM_031684986.1	rna-XM_031684987.1	rna-XM_031684986.1
N3.HOG0002716	OG0002025	n0	rna-XM_015251856.2	rna-XM_010966596.1	rna-XM_031467355.1	"rna-XM_032471099.1, rna-XM_032496914.1"	rna-XM_006219032.3	rna-XM_006219032.3	rna-XM_006219032.3
N3.HOG0002717	OG0002026	n3	rna-XM_031685084.1	rna-XM_010966590.1	rna-XM_031467328.1	rna-XM_032497894.1	rna-XM_031685084.1	rna-XM_031685084.1	rna-XM_031685084.1
N3.HOG0002718	OG0002026	n10		rna-XM_010963680.1					
N3.HOG0002719	OG0002027	n0	rna-XM_031685113.1	rna-XM_010966854.1	rna-XM_010992039.2	rna-XM_032474139.1	rna-XM_031685113.1	rna-XM_031685113.1	rna-XM_031685113.1
N3.HOG0002720	OG0002028	n0	rna-XM_006219111.3	rna-XM_010951063.1	rna-XM_010990400.2	rna-XM_006181415.3	rna-XM_006219111.3	rna-XM_006219111.3	rna-XM_006219111.3
N3.HOG0002721	OG0002029	n0	rna-XM_006218008.2	rna-XM_010951041.1	"rna-XM_010990425.2, rna-XM_031468042.1"	rna-XM_006181425.3	rna-XM_006218008.2	rna-XM_006218008.2	rna-XM_006218008.2
N3.HOG0002722	OG0002030	n0	rna-XM_006218005.2	rna-XM_010951036.1	rna-XM_010990431.2	rna-XM_006181428.2	rna-XM_006218005.2	rna-XM_006218005.2	rna-XM_006218005.2
N3.HOG0002723	OG0002031	n0	rna-XM_006218004.3	rna-XM_010951034.1	rna-XM_010990432.2	rna-XM_006181429.3	rna-XM_006218004.3	rna-XM_006218004.3	rna-XM_006218004.3
N3.HOG0002724	OG0002032	n3	rna-XM_031685183.1	rna-XM_010951032.1	rna-XM_031468035.1	rna-XM_032498391.1	rna-XM_015250957.2	rna-XM_015250957.2	rna-XM_015250957.2
N3.HOG0002725	OG0002032	n10				rna-XM_032473551.1			
N3.HOG0002726	OG0002033	n0	rna-XM_031685234.1	rna-XM_010949210.1	rna-XM_031467986.1	rna-XM_032498327.1	rna-XM_006213313.3	rna-XM_031685234.1	rna-XM_031685234.1
N3.HOG0002727	OG0002034	n0	rna-XM_015247147.2	rna-XM_010949206.1	rna-XM_031467984.1	rna-XM_032498325.1	rna-XM_015247147.2	rna-XM_015247147.2	rna-XM_015247147.2
N3.HOG0002728	OG0002035	n0	rna-XM_006213315.2	rna-XM_010949202.1	rna-XM_010990479.2	rna-XM_006173595.3	rna-XM_006213315.2	rna-XM_006213315.2	rna-XM_006213315.2
N3.HOG0002729	OG0002036	n0	rna-XM_006213316.3	rna-XM_010949216.1	rna-XM_031467961.1	rna-XM_032498310.1	rna-XM_006213316.3	rna-XM_006213316.3	rna-XM_006213316.3
N3.HOG0002730	OG0002037	n0	rna-XM_006213317.3	rna-XM_010949201.1	rna-XM_010990528.2	rna-XM_032498309.1	rna-XM_006213317.3	rna-XM_006213317.3	rna-XM_006213317.3
N3.HOG0002731	OG0002038	n0	rna-XM_006213364.3	rna-XM_010949198.1	rna-XM_010990481.2	rna-XM_032498307.1	rna-XM_006213364.3	rna-XM_006213364.3	rna-XM_006213364.3
N3.HOG0002732	OG0002039	n0	rna-XM_031685238.1	rna-XM_010949191.1	rna-XM_031467946.1	rna-XM_014559143.2	rna-XM_015247108.2	rna-XM_015247108.2	rna-XM_015247108.2
N3.HOG0002733	OG0002040	n0	rna-XM_031685244.1	rna-XM_010949185.1	rna-XM_031467959.1	rna-XM_032498305.1	rna-XM_006213318.2	rna-XM_031685244.1	rna-XM_031685244.1
N3.HOG0002734	OG0002041	n0	rna-XM_006213319.3	rna-XM_010949183.1	rna-XM_031467942.1	rna-XM_032498296.1	rna-XM_006213319.3	rna-XM_006213319.3	rna-XM_006213319.3
N3.HOG0002735	OG0002042	n0	rna-XM_031685250.1	rna-XM_010949181.1	rna-XM_031467935.1	rna-XM_032498290.1	rna-XM_031685248.1	rna-XM_031685245.1	rna-XM_031685245.1
N3.HOG0002736	OG0002043	n0	rna-XM_006213327.3	rna-XM_010949180.1	rna-XM_010990489.2	rna-XM_032498295.1	rna-XM_006213327.3	rna-XM_006213327.3	rna-XM_006213327.3
N3.HOG0002737	OG0002044	n0	rna-XM_006213329.3	rna-XM_010949178.1	rna-XM_031467928.1	rna-XM_006173586.3	rna-XM_006213328.3	rna-XM_006213328.3	rna-XM_006213328.3
N3.HOG0002738	OG0002045	n0	"rna-XM_006220356.3, rna-XM_031685161.1"	rna-XM_010950242.1	rna-XM_031469500.1	rna-XM_006172530.3	rna-XM_031685161.1	rna-XM_006220356.3	rna-XM_031685161.1
N3.HOG0002739	OG0002046	n0	rna-XM_031685169.1	rna-XM_010949164.1	rna-XM_031467899.1	rna-XM_032498249.1	rna-XM_031685169.1	rna-XM_031685169.1	rna-XM_031685169.1
N3.HOG0002740	OG0002047	n0	rna-XM_015252023.2	rna-XM_010949163.1	rna-XM_031467902.1	rna-XM_032498251.1	rna-XM_015252023.2	rna-XM_015252023.2	rna-XM_015252023.2
N3.HOG0002741	OG0002048	n0	rna-XM_031685144.1	rna-XM_010949215.1	rna-XM_010990507.2	rna-XM_006174849.2	rna-XM_031685144.1	rna-XM_031685144.1	rna-XM_031685144.1
N3.HOG0002742	OG0002049	n0	rna-XM_031685157.1	rna-XM_010949165.1	rna-XM_031467907.1	rna-XM_032498283.1	rna-XM_006219199.3	rna-XM_031685157.1	rna-XM_031685157.1
N3.HOG0002743	OG0002050	n0	rna-XM_015245819.2	rna-XM_010970426.1	rna-XM_031468269.1	"rna-XM_032457725.1, rna-XM_032491467.1"	rna-XM_015245819.2	rna-XM_015245819.2	rna-XM_015245818.2
N3.HOG0002744	OG0002051	n0	rna-XM_006212000.3	rna-XM_010970430.1	rna-XM_010979037.2	rna-XM_032457720.1	rna-XM_006212000.3	rna-XM_006212000.3	rna-XM_006212000.3
