HOG,mi,Di,m0,D0,SYMBOL,GENENAME
N0.HOG0004520,192.4,1.00048,77.6,1.0088,MLANA,melan-A
N0.HOG0004521,3520.5,50.34315,1318.5,34.8084,KIAA2026,KIAA2026
N0.HOG0004523,1736.9,6.9476,681.1,11.17004,GLDC,glycine decarboxylase
N0.HOG0004524,1015.1,4.0604,382.9,16.61786,KDM4C,lysine demethylase 4C
N0.HOG0004525,3078.2,4.92512,1190.8,28.5792,PTPRD,protein tyrosine phosphatase receptor type D
N0.HOG0004526,1122.3,7.07049,461.7,21.83841,TYRP1,tyrosinase related protein 1
N0.HOG0004528,4033.5,38.7216,1747.5,56.09475,MPDZ,multiple PDZ domain crumbs cell polarity complex component
N0.HOG0004529,868.8,6.34224,370.2,4.70154,NFIB,nuclear factor I B
N0.HOG0004530,2860.4,51.77324,1099.6,42.44456,FREM1,FRAS1 related extracellular matrix 1
N0.HOG0004531,883.4,5.03538,367.6,13.38064,TTC39B,tetratricopeptide repeat domain 39B
N0.HOG0004532,855.7,2.99495,347.3,10.24535,SNAPC3,small nuclear RNA activating complex polypeptide 3
N0.HOG0004533,721.8,1.01052,262.2,0.99636,PSIP1,PC4 and SFRS1 interacting protein 1
N0.HOG0004534,2342,11.0074,955,14.2295,CCDC171,coiled-coil domain containing 171
N0.HOG0004535,1814.8,1.99628,588.2,21.70458,BNC2,basonuclin 2
N0.HOG0004536,1920.9,15.17511,767.1,11.12295,CNTLN,centlein
N0.HOG0004538,3344.5,20.7359,1236.5,43.7721,ADAMTSL1,ADAMTS like 1
N0.HOG0004539,1834.7,34.49236,577.3,15.29845,HAUS6,HAUS augmin like complex subunit 6
N0.HOG0004540,868.9,19.28958,340.1,8.12839,PLIN2,perilipin 2
N0.HOG0004541,4116,22.2264,1494,35.7066,DENND4C,DENN domain containing 4C
N0.HOG0004543,1355.5,0.94885,534.5,9.13995,SLC24A2,solute carrier family 24 member 2
N0.HOG0004544,905.8,9.058,288.2,7.14736,MLLT3,MLLT3 super elongation complex subunit
N0.HOG0004545,3398.3,10.87456,1593.7,35.69888,FOCAD,focadhesin
N0.HOG0004548,1006.6,14.5957,442.4,8.67104,DMRTA1,DMRT like family A1
N0.HOG0004550,486.1,3.01382,209.9,7.15759,IZUMO3,IZUMO family member 3
N0.HOG0004551,386.7,6.07119,132.3,7.30296,CAAP1,caspase activity and apoptosis inhibitor 1
N0.HOG0004552,1299.4,1.03952,446.6,4.0194,PLAA,phospholipase A2 activating protein
N0.HOG0004553,1060,2.014,314,7.1278,IFT74,intraflagellar transport 74
N0.HOG0004554,398.5,4.02485,201.5,3.0225,LRRC19,leucine rich repeat containing 19
N0.HOG0004555,1885.6,3.95976,724.4,20.50052,TEK,TEK receptor tyrosine kinase
N0.HOG0004556,1037.2,1.97068,405.8,14.4059,C9orf72,C9orf72-SMCR8 complex subunit
N0.HOG0004557,1980.8,8.51744,293.2,38.23328,GRIN1,glutamate ionotropic receptor NMDA type subunit 1
N0.HOG0004558,272.6,3.5438,105.4,7.93662,TMEM210,transmembrane protein 210
N0.HOG0004559,1955.2,14.664,483.8,33.18868,ANAPC2,anaphase promoting complex subunit 2
N0.HOG0004561,1154.7,40.64544,330.3,15.92046,TPRN,taperin
N0.HOG0004563,1062.1,15.71908,290.9,22.89383,NDOR1,NADPH dependent diflavin oxidoreductase 1
N0.HOG0004564,355.9,9.00427,130.1,5.32109,NA,NA
N0.HOG0004565,566.2,30.74466,141.8,36.40006,SLC34A3,solute carrier family 34 member 3
N0.HOG0004566,361.9,7.70847,91.1,10.45828,NELFB,negative elongation factor complex member B
N0.HOG0004568,857.3,10.11614,177.7,6.14842,ENTPD8,ectonucleoside triphosphate diphosphohydrolase 8
N0.HOG0004569,1817.6,5.99808,495.4,28.53504,PNPLA7,patatin like phospholipase domain containing 7
N0.HOG0004570,565.8,8.09094,184.2,7.1838,DPH7,diphthamide biosynthesis 7
N0.HOG0004571,383.4,19.13166,105.6,24.53088,ZMYND19,zinc finger MYND-type containing 19
N0.HOG0004572,819.2,3.03104,239.8,10.33538,ARRDC1,arrestin domain containing 1
N0.HOG0004573,1850.1,72.33891,471.9,48.03942,EHMT1,euchromatic histone lysine methyltransferase 1
N0.HOG0004574,2109.7,99.99978,467.3,102.43216,CACNA1B,calcium voltage-gated channel subunit alpha1 B
N0.HOG0004575,201.3,17.69427,62.7,6.87819,DMRT2,doublesex and mab-3 related transcription factor 2
N0.HOG0004576,810.9,3.48687,179.1,15.85035,DMRT3,doublesex and mab-3 related transcription factor 3
N0.HOG0004578,2406.6,15.16158,866.4,37.2552,KANK1,KN motif and ankyrin repeat domains 1
N0.HOG0004579,1208.6,3.0215,489.4,15.46504,DOCK8,dedicator of cytokinesis 8
N0.HOG0004580,574.7,2.98844,235.3,6.14133,PGM5,phosphoglucomutase 5
N0.HOG0004581,266.2,1.9965,123.8,2.01794,TMEM252,transmembrane protein 252
N0.HOG0004582,1149.9,2.98974,467.1,11.2104,PIP5K1B,phosphatidylinositol-4-phosphate 5-kinase type 1 beta
N0.HOG0004583,617.3,1.97536,234.7,4.03684,FAM122A,family with sequence similarity 122A
N0.HOG0004585,1930.3,5.01878,739.7,43.12451,TJP2,tight junction protein 2
N0.HOG0004586,754.4,6.0352,325.6,13.47984,FAM189A2,family with sequence similarity 189 member A2
N0.HOG0004587,446.8,12.46572,174.2,3.81498,PTAR1,protein prenyltransferase alpha subunit repeat containing 1
N0.HOG0004588,1050.9,14.08206,359.1,9.15705,SMC5,structural maintenance of chromosomes 5
N0.HOG0004589,576,0.9792,153,2.0196,KLF9,Kruppel like factor 9
N0.HOG0004591,2563.9,5.1278,1033.1,19.31897,CEMIP2,cell migration inducing hyaluronidase 2
N0.HOG0004593,614.4,0.98304,234.6,6.14652,GDA,guanine deaminase
N0.HOG0004595,1377.1,7.02321,587.9,17.34305,TMC1,transmembrane channel like 1
N0.HOG0004597,819,7.0434,324,7.0956,RORB,RAR related orphan receptor B
N0.HOG0004598,4166.3,85.82578,1626.7,73.03883,TRPM6,transient receptor potential cation channel subfamily M member 6
N0.HOG0004600,287.3,43.095,99.7,32.67169,NMRK1,nicotinamide riboside kinase 1
N0.HOG0004601,203,7.1659,76,3.0932,OSTF1,osteoclast stimulating factor 1
N0.HOG0004602,3115.7,77.58093,1006.3,69.4347,PCSK5,proprotein convertase subtilisin/kexin type 5
N0.HOG0004604,746.9,12.47323,249.1,7.84665,GCNT1,glucosaminyl (N-acetyl) transferase 1
N0.HOG0004605,3900.2,110.76568,1391.8,72.3736,PRUNE2,prune homolog 2 with BCH domain
N0.HOG0004606,391,41.2896,71,26.696,FOXB2,forkhead box B2
N0.HOG0004607,5182.3,32.13026,1810.7,41.82717,VPS13A,vacuolar protein sorting 13 homolog A
N0.HOG0004610,708.9,4.04073,266.1,9.28689,CEP78,centrosomal protein 78
N0.HOG0004611,647.8,15.74154,249.2,9.76864,PSAT1,phosphoserine aminotransferase 1
N0.HOG0004612,833.6,19.25616,321.4,16.61638,TLE4,"TLE family member 4, transcriptional corepressor"
N0.HOG0004614,845.3,4.05744,306.7,6.07266,PHF24,PHD finger protein 24
N0.HOG0004616,1376.4,24.36228,663.6,12.21024,C9orf131,chromosome 9 open reading frame 131
N0.HOG0004618,1010,11.11,529,20.7368,FANCG,FA complementation group G
N0.HOG0004619,2188.8,20.13696,1045.2,21.32208,PIGO,phosphatidylinositol glycan anchor biosynthesis class O
N0.HOG0004620,581.4,9.12798,261.6,4.0548,STOML2,stomatin like 2
N0.HOG0004621,1083.7,7.04405,518.3,3.00614,FAM214B,family with sequence similarity 214 member B
N0.HOG0004622,2747.9,7.14454,1029.1,20.27327,NA,NA
N0.HOG0004623,3128.9,26.28276,1341.1,34.73449,RUSC2,RUN and SH3 domain containing 2
N0.HOG0004624,466.6,4.01276,196.4,4.04584,FAM166B,family with sequence similarity 166 member B
N0.HOG0004625,831.3,1.99512,404.7,8.13447,TESK1,testis associated actin remodelling kinase 1
N0.HOG0004626,498.9,6.03669,209.1,4.05654,CCDC107,coiled-coil domain containing 107
N0.HOG0004627,603.4,8.08556,233.6,6.09696,ARHGEF39,Rho guanine nucleotide exchange factor 39
N0.HOG0004629,5420.4,3.25224,2157.6,62.5704,TLN1,talin 1
N0.HOG0004630,1251.8,5.0072,524.2,7.0767,GBA2,glucosylceramidase beta 2
N0.HOG0004631,800.5,2.00125,357.5,9.152,RGP1,"RGP1 homolog, RAB6A GEF complex partner 1"
N0.HOG0004632,287.8,1.0073,117.2,5.19196,MSMP,"microseminoprotein, prostate associated"
N0.HOG0004633,919.7,1.01167,319.3,10.24953,NPR2,natriuretic peptide receptor 2
N0.HOG0004635,224.2,1.0089,105.8,2.03136,HINT2,histidine triad nucleotide binding protein 2
N0.HOG0004636,613.7,19.45429,271.3,8.22039,FAM221B,family with sequence similarity 221 member B
N0.HOG0004637,507.5,7.25725,146.5,10.35755,TMEM8B,transmembrane protein 8B
N0.HOG0004638,1829.8,4.02556,699.2,12.16608,RECK,reversion inducing cysteine rich protein with kazal motifs
N0.HOG0004639,130.1,15.15665,28.9,13.44428,GLIPR2,GLI pathogenesis related 2
N0.HOG0004640,1325.7,3.04911,438.3,18.67158,CCIN,calicin
N0.HOG0004641,180.8,5.62288,77.2,3.6284,CLTA,clathrin light chain A
N0.HOG0004644,1210.6,7.98996,463.4,10.1948,MELK,maternal embryonic leucine zipper kinase
N0.HOG0004645,513.7,12.02058,146.3,10.75305,PAX5,paired box 5
N0.HOG0004646,518.6,2.02254,198.4,3.03552,ZCCHC7,zinc finger CCHC-type containing 7
N0.HOG0004648,1473,2.946,534,25.098,ZBTB5,zinc finger and BTB domain containing 5
N0.HOG0004649,568.9,6.54235,223.1,8.79014,POLR1E,RNA polymerase I subunit E
N0.HOG0004650,1858.1,68.37808,505.9,64.14812,FBXO10,F-box protein 10
N0.HOG0004651,3248.1,42.55011,1281.9,50.76324,FRMPD1,FERM and PDZ domain containing 1
N0.HOG0004652,340.5,3.03045,148.5,2.0196,TRMT10B,tRNA methyltransferase 10B
N0.HOG0004653,146.8,2.01116,66.2,2.04558,EXOSC3,exosome component 3
N0.HOG0004657,1783.2,30.84936,673.8,24.2568,CCDC180,coiled-coil domain containing 180
N0.HOG0004658,2275.1,9.1004,982.9,18.28194,TDRD7,tudor domain containing 7
N0.HOG0004659,707.8,0.99092,264.2,13.44778,TMOD1,tropomodulin 1
N0.HOG0004660,936.5,11.14435,386.5,7.1116,TSTD2,thiosulfate sulfurtransferase like domain containing 2
N0.HOG0004661,1544.4,2.00772,624.6,9.11916,NCBP1,nuclear cap binding protein subunit 1
N0.HOG0004662,455.4,3.00564,153.6,8.40192,XPA,"XPA, DNA damage recognition and repair factor"
N0.HOG0004663,413.2,42.89016,120.8,29.37856,FOXE1,forkhead box E1
N0.HOG0004664,702.7,9.06483,308.3,11.34544,TRMO,tRNA methyltransferase O
N0.HOG0004666,430.3,0.98969,148.7,4.07438,NANS,N-acetylneuraminate synthase
N0.HOG0004667,328.7,6.60687,85.3,5.75775,TRIM14,tripartite motif containing 14
N0.HOG0004668,1215.6,0.97248,350.4,9.18048,CORO2A,coronin 2A
N0.HOG0004669,993.1,3.9724,212.9,15.7546,TBC1D2,TBC1 domain family member 2
N0.HOG0004671,1174.7,5.99097,457.3,9.146,ANKS6,ankyrin repeat and sterile alpha motif domain containing 6
N0.HOG0004672,628.3,2.01056,229.7,9.23394,GALNT12,polypeptide N-acetylgalactosaminyltransferase 12
N0.HOG0004673,2526.5,28.2968,1235.5,46.57835,COL15A1,collagen type XV alpha 1 chain
N0.HOG0004674,968.2,0.9682,333.8,6.07516,TGFBR1,transforming growth factor beta receptor 1
N0.HOG0004676,1212.5,4.97125,413.5,15.5476,NR4A3,nuclear receptor subfamily 4 group A member 3
N0.HOG0004677,452,6.554,169,1.5041,STX17,syntaxin 17
N0.HOG0004679,1817.4,47.97936,702.6,45.10692,INVS,inversin
N0.HOG0004680,1824.2,6.93196,815.8,14.19492,TEX10,testis expressed 10
N0.HOG0004683,787.4,7.0866,286.6,15.70568,CAVIN4,caveolae associated protein 4
N0.HOG0004684,312.4,12.3398,131.6,10.69908,MRPL50,mitochondrial ribosomal protein L50
N0.HOG0004685,854.7,1.96581,267.3,2.00475,ZNF189,zinc finger protein 189
N0.HOG0004686,779.1,2.02566,312.9,11.32698,ALDOB,"aldolase, fructose-bisphosphate B"
N0.HOG0004687,630,2.016,189,10.3761,PGAP4,post-GPI attachment to proteins GalNAc transferase 4
N0.HOG0004688,2055.6,27.95616,860.4,18.67068,RNF20,ring finger protein 20
N0.HOG0004689,2391.2,15.06456,923.8,23.46452,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A
N0.HOG0004690,2615.6,4.96964,957.4,30.82828,SMC2,structural maintenance of chromosomes 2
N0.HOG0004691,665.3,10.11256,282.7,9.24429,OR13C8,olfactory receptor family 13 subfamily C member 8
N0.HOG0004692,1233.9,0.98712,593.1,12.15855,SLC44A1,solute carrier family 44 member 1
N0.HOG0004693,284.4,0.9954,75.6,3.09204,FSD1L,fibronectin type III and SPRY domain containing 1 like
N0.HOG0004694,571.6,7.54512,229.4,9.88714,FKTN,fukutin
N0.HOG0004695,128.4,1.00152,36.6,4.3188,TAL2,TAL bHLH transcription factor 2
N0.HOG0004697,3315.8,12.26846,1019.2,35.672,ZNF462,zinc finger protein 462
N0.HOG0004698,766.5,32.0397,274.5,22.04235,RAD23B,"RAD23 homolog B, nucleotide excision repair protein"
N0.HOG0004699,1059.2,2.01248,338.8,5.04812,KLF4,Kruppel like factor 4
N0.HOG0004700,1014.2,8.01218,227.8,21.95992,ACTL7B,actin like 7B
N0.HOG0004701,978.1,4.98831,320.9,13.44571,ACTL7A,actin like 7A
N0.HOG0004702,1292.9,8.01598,573.1,16.39066,ELP1,elongator complex protein 1
N0.HOG0004704,1130.8,8.02868,477.2,17.51324,CTNNAL1,catenin alpha like 1
N0.HOG0004705,1278.2,2.04512,569.8,12.19372,TMEM245,transmembrane protein 245
N0.HOG0004706,303.7,1.00221,107.3,5.18259,FRRS1L,ferric chelate reductase 1 like
N0.HOG0004707,1457.4,2.04036,657.6,17.4264,EPB41L4B,erythrocyte membrane protein band 4.1 like 4B
N0.HOG0004708,1876.3,8.44335,775.7,25.13268,PTPN3,protein tyrosine phosphatase non-receptor type 3
N0.HOG0004709,500.5,15.3153,186.5,13.74505,C9orf152,chromosome 9 open reading frame 152
N0.HOG0004710,5539,54.8361,2219,87.2067,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"
N0.HOG0004711,1593.5,3.98375,539.5,25.94995,MUSK,muscle associated receptor tyrosine kinase
N0.HOG0004712,382.1,8.13873,169.9,10.58477,OR2K2,olfactory receptor family 2 subfamily K member 2
N0.HOG0004713,3815.8,3.8158,1680.2,51.2461,ECPAS,Ecm29 proteasome adaptor and scaffold
N0.HOG0004715,590.4,5.0184,252.6,5.07726,SUSD1,sushi domain containing 1
N0.HOG0004717,1536.2,5.99118,602.8,24.77508,KIAA1958,KIAA1958
N0.HOG0004720,2416.5,40.1139,1066.5,45.0063,FKBP15,FKBP prolyl isomerase 15
N0.HOG0004721,188.6,0.99958,60.4,1.00868,SLC31A1,solute carrier family 31 member 1
N0.HOG0004724,445.3,2.00385,118.7,4.11889,RNF183,ring finger protein 183
N0.HOG0004725,408,3.0192,159,7.2186,WDR31,WD repeat domain 31
N0.HOG0004727,522.8,17.35696,227.2,6.11168,HDHD3,haloacid dehalogenase like hydrolase domain containing 3
N0.HOG0004728,674.4,1.0116,255.6,7.13124,ALAD,aminolevulinate dehydratase
N0.HOG0004730,964.1,2.98871,256.9,10.37876,RGS3,regulator of G protein signaling 3
N0.HOG0004731,2029.4,5.0735,457.6,30.888,ZNF618,zinc finger protein 618
N0.HOG0004732,964.4,11.0906,373.6,15.54176,KIF12,kinesin family member 12
N0.HOG0004733,2141.7,140.92386,1032.3,129.76011,COL27A1,collagen type XXVII alpha 1 chain
N0.HOG0004734,2818,33.2524,1178,49.8294,AKNA,AT-hook transcription factor
N0.HOG0004735,1267.7,6.97235,400.3,25.37902,WHRN,whirlin
N0.HOG0004736,747.1,5.00557,236.9,20.49185,TMEM268,transmembrane protein 268
N0.HOG0004737,268.5,0.99345,109.5,1.0074,TNFSF15,TNF superfamily member 15
N0.HOG0004738,3622.2,56.86854,1000.8,68.35464,TNC,tenascin C
N0.HOG0004739,3343,16.715,917,41.9986,PAPPA,pappalysin 1
N0.HOG0004740,909.4,6.00204,260.6,15.8966,ASTN2,astrotactin 2
N0.HOG0004741,1504.2,1.05294,451.8,13.3281,TRIM32,tripartite motif containing 32
N0.HOG0004742,791.2,6.56696,330.8,11.84264,TLR4,toll like receptor 4
N0.HOG0004743,1455.3,4.07484,245.7,15.84765,BRINP1,BMP/retinoic acid inducible neural specific 1
N0.HOG0004744,2777.8,24.16686,1092.2,38.11778,CDK5RAP2,CDK5 regulatory subunit associated protein 2
N0.HOG0004745,1065.8,14.17514,416.2,10.1969,MEGF9,multiple EGF like domains 9
N0.HOG0004746,563.8,2.98814,219.2,4.0552,FBXW2,F-box and WD repeat domain containing 2
N0.HOG0004748,805.8,4.029,208.2,9.38982,TRAF1,TNF receptor associated factor 1
N0.HOG0004749,3319.4,30.53848,1381.6,37.3032,C5,complement C5
N0.HOG0004752,1941.3,1.9413,362.7,21.87081,DAB2IP,DAB2 interacting protein
N0.HOG0004754,721.9,30.89732,157.1,27.16259,LHX6,LIM homeobox 6
N0.HOG0004756,347.8,12.31212,123.2,12.89904,MRRF,mitochondrial ribosome recycling factor
N0.HOG0004757,1067.9,5.98024,267.1,12.50028,PTGS1,prostaglandin-endoperoxide synthase 1
N0.HOG0004758,667.2,26.3544,256.8,9.80976,OR1J1,olfactory receptor family 1 subfamily J member 1
N0.HOG0004759,657.9,11.11851,269.1,10.36035,OR1N2,olfactory receptor family 1 subfamily N member 2
N0.HOG0004762,467,2.0081,148,4.0996,OR1Q1,olfactory receptor family 1 subfamily Q member 1
N0.HOG0004763,570.5,10.1549,245.5,9.25535,OR1B1,olfactory receptor family 1 subfamily B member 1
N0.HOG0004765,756.4,13.16136,203.6,12.74536,OR5C1,olfactory receptor family 5 subfamily C member 1
N0.HOG0004766,701.7,3.99969,201.3,8.29356,PDCL,phosducin like
N0.HOG0004767,2407.2,1.92576,949.8,11.11266,RC3H2,ring finger and CCCH-type domains 2
N0.HOG0004768,933.1,1.95951,332.9,8.15605,ZBTB6,zinc finger and BTB domain containing 6
N0.HOG0004770,714.4,2.5004,332.6,8.6476,GPR21,G protein-coupled receptor 21
N0.HOG0004772,2185.7,27.75839,727.3,30.5466,CRB2,crumbs cell polarity complex component 2
N0.HOG0004773,1412.3,3.95444,525.7,14.29904,DENND1A,DENN domain containing 1A
N0.HOG0004774,683.6,6.01568,117.4,11.95132,LHX2,LIM homeobox 2
N0.HOG0004775,759.6,6.00084,173.4,20.01036,NEK6,NIMA related kinase 6
N0.HOG0004776,596.8,2.984,234.2,6.13604,PSMB7,proteasome 20S subunit beta 7
N0.HOG0004777,1030.5,1.0305,223.5,6.14625,NR5A1,nuclear receptor subfamily 5 group A member 1
N0.HOG0004778,796.9,3.9845,292.1,4.03098,NR6A1,nuclear receptor subfamily 6 group A member 1
N0.HOG0004782,1315.5,16.18065,709.5,15.25425,GOLGA1,golgin A1
N0.HOG0004783,1159.1,1.04319,517.9,12.17065,SCAI,suppressor of cancer cell invasion
N0.HOG0004785,469,7.0819,209,7.1687,RABEPK,Rab9 effector protein with kelch motifs
N0.HOG0004787,3072.1,22.11912,1166.9,34.89031,GAPVD1,GTPase activating protein and VPS9 domains 1
N0.HOG0004791,503.9,52.05287,117.1,31.59358,LMX1B,LIM homeobox transcription factor 1 beta
N0.HOG0004792,999,1.998,402,10.251,ZBTB43,zinc finger and BTB domain containing 43
N0.HOG0004793,1090,3.052,410,10.209,ZBTB34,zinc finger and BTB domain containing 34
N0.HOG0004794,194.7,19.82046,63.3,12.12828,RALGPS1,Ral GEF with PH domain and SH3 binding motif 1
N0.HOG0004795,916,3.0228,128,9.4464,ANGPTL2,angiopoietin like 2
N0.HOG0004796,2055.5,5.96095,833.5,18.337,GARNL3,GTPase activating Rap/RanGAP domain like 3
N0.HOG0004797,470.5,5.03435,126.5,8.56405,SLC2A8,solute carrier family 2 member 8
N0.HOG0004798,1545.6,4.01856,539.4,19.63416,LRSAM1,leucine rich repeat and sterile alpha motif containing 1
N0.HOG0004799,1785.6,19.6416,371.4,30.56622,NIBAN2,niban apoptosis regulator 2
N0.HOG0004801,1210.1,40.29633,271.9,15.28078,CFAP157,cilia and flagella associated protein 157
N0.HOG0004803,368.8,3.02416,108.2,4.12242,TOR2A,torsin family 2 member A
N0.HOG0004805,673.4,182.89544,244.6,95.17386,FPGS,folylpolyglutamate synthase
N0.HOG0004806,1372.6,11.11806,454.4,9.13344,ENG,endoglin
N0.HOG0004807,332.9,11.08557,75.1,9.10963,AK1,adenylate kinase 1
N0.HOG0004808,753.2,0.97916,140.8,4.09728,ST6GALNAC6,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6"
N0.HOG0004809,739.8,6.06636,214.2,3.02022,PIP5KL1,phosphatidylinositol-4-phosphate 5-kinase like 1
N0.HOG0004810,775.5,2.0163,196.5,3.0261,NAIF1,nuclear apoptosis inducing factor 1
N0.HOG0004811,896.7,0.98637,201.3,9.27993,SLC25A25,solute carrier family 25 member 25
N0.HOG0004812,430.1,0.98923,88.9,12.25042,PTGES2,prostaglandin E synthase 2
N0.HOG0004814,1405.4,12.08644,538.6,20.62838,CIZ1,CDKN1A interacting zinc finger protein 1
N0.HOG0004815,1630.2,26.24622,337.8,34.38804,DNM1,dynamin 1
N0.HOG0004816,429.7,4.03918,149.3,12.6905,TRUB2,TruB pseudouridine synthase family member 2
N0.HOG0004817,150.4,3.05312,56.6,4.21104,COQ4,coenzyme Q4
N0.HOG0004818,1516.7,13.04362,409.3,19.89198,SLC27A4,solute carrier family 27 member 4
N0.HOG0004820,1201.5,11.0538,349.5,14.50425,CERCAM,cerebral endothelial cell adhesion molecule
N0.HOG0004821,929.4,1.02234,300.6,9.25848,ODF2,outer dense fiber of sperm tails 2
N0.HOG0004822,1244.4,9.08412,540.6,14.3259,GLE1,GLE1 RNA export mediator
N0.HOG0004823,4279.2,0.85584,1360.8,46.40328,SPTAN1,"spectrin alpha, non-erythrocytic 1"
N0.HOG0004824,715.6,10.16152,226.4,16.05176,DYNC2I2,dynein 2 intermediate chain 2
N0.HOG0004825,1589.2,3.01948,513.8,26.15242,PKN3,protein kinase N3
N0.HOG0004826,466.1,2.00423,97.9,3.06427,ZDHHC12,zinc finger DHHC-type palmitoyltransferase 12
N0.HOG0004829,2115,1.9035,312,42.8688,LRRC8A,leucine rich repeat containing 8 VRAC subunit A
N0.HOG0004830,541,2.0017,194,8.3226,PHYHD1,phytanoyl-CoA dioxygenase domain containing 1
N0.HOG0004831,1124.8,3.03696,477.2,16.51112,DOLK,dolichol kinase
N0.HOG0004832,3271.4,6.86994,1384.6,45.27642,NUP188,nucleoporin 188
N0.HOG0004833,453.4,1.99496,161.6,4.08848,SH3GLB2,"SH3 domain containing GRB2 like, endophilin B2"
N0.HOG0004834,1048.6,5.03328,307.4,19.08954,MIGA2,mitoguardin 2
N0.HOG0004836,1268.8,18.01696,306.2,16.90224,CRAT,carnitine O-acetyltransferase
N0.HOG0004837,639.8,1.02368,212.2,4.05302,PTPA,protein phosphatase 2 phosphatase activator
N0.HOG0004841,227.6,1.00144,54.4,3.11712,PRRX2,paired related homeobox 2
N0.HOG0004843,469,11.1622,149,10.6237,TOR1B,torsin family 1 member B
N0.HOG0004844,288.9,4.0446,92.1,3.07614,TOR1A,torsin family 1 member A
N0.HOG0004846,2275.8,22.07526,451.2,34.24608,USP20,ubiquitin specific peptidase 20
N0.HOG0004847,1301,5.0739,475,11.21,FNBP1,formin binding protein 1
N0.HOG0004848,929.5,6.04175,381.5,9.156,GPR107,G protein-coupled receptor 107
N0.HOG0004850,1002.5,7.0175,233.5,12.49225,ASS1,argininosuccinate synthase 1
N0.HOG0004851,966.8,0.9668,407.2,15.51432,FUBP3,far upstream element binding protein 3
N0.HOG0004852,635.7,15.76536,120.3,18.56229,PRDM12,PR/SET domain 12
N0.HOG0004853,1216.4,0.97312,418.6,13.35334,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
N0.HOG0004854,733.1,5.05839,160.9,8.27026,FIBCD1,fibrinogen C domain containing 1
N0.HOG0004855,3569.4,50.68548,894.6,66.82662,LAMC3,laminin subunit gamma 3
N0.HOG0004857,3874.5,30.2211,1840.5,54.29475,NUP214,nucleoporin 214
N0.HOG0004858,526.1,2.99877,58.9,7.98684,FAM78A,family with sequence similarity 78 member A
N0.HOG0004859,443.5,2.52795,66.5,9.71565,PLPP7,phospholipid phosphatase 7 (inactive)
N0.HOG0004860,4620.4,39.2734,1565.6,61.99776,PRRC2B,proline rich coiled-coil 2B
N0.HOG0004861,1559.2,9.97888,462.8,32.07204,POMT1,protein O-mannosyltransferase 1
N0.HOG0004863,1610.7,4.99317,519.3,31.46958,RAPGEF1,Rap guanine nucleotide exchange factor 1
N0.HOG0004866,5275.5,69.10905,2089.5,78.1473,SETX,senataxin
N0.HOG0004867,649,3.5046,212,2.5228,BARHL1,BarH like homeobox 1
N0.HOG0004868,1265.1,28.21173,504.9,15.60141,DDX31,DEAD-box helicase 31
N0.HOG0004869,1273.2,8.02116,475.8,19.65054,GTF3C4,general transcription factor IIIC subunit 4
N0.HOG0004870,464,4.0368,118,7.3632,AK8,adenylate kinase 8
N0.HOG0004871,254,2.0066,46,4.2642,SPACA9,sperm acrosome associated 9
N0.HOG0004872,2364.8,8.98624,1040.2,28.70952,TSC1,TSC complex subunit 1
N0.HOG0004873,587.8,6.05434,105.2,12.22424,GFI1B,growth factor independent 1B transcriptional repressor
N0.HOG0004874,1074,3.9738,219,13.797,GTF3C5,general transcription factor IIIC subunit 5
N0.HOG0004875,1161.8,11.0371,173.2,18.80952,RALGDS,ral guanine nucleotide dissociation stimulator
N0.HOG0004876,1462.9,11.11804,268.1,19.3032,CEL,carboxyl ester lipase
N0.HOG0004877,554.1,6.03969,129.9,7.36533,GBGT1,"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)"
N0.HOG0004879,2279.6,19.14864,339.4,38.72554,KCNT1,potassium sodium-activated channel subfamily T member 1
N0.HOG0004880,2294.7,17.66919,615.3,43.00947,CAMSAP1,calmodulin regulated spectrin associated protein 1
N0.HOG0004881,533.8,2.02844,159.2,9.36096,UBAC1,UBA domain containing 1
N0.HOG0004882,887.4,19.34532,132.6,21.70662,NACC2,NACC family member 2
N0.HOG0004883,354.5,0.9926,62.5,6.425,TMEM250,transmembrane protein 250
N0.HOG0004884,545.2,53.92028,141.8,43.49006,LHX3,LIM homeobox 3
N0.HOG0004885,1010.5,6.063,339.5,15.6849,QSOX2,quiescin sulfhydryl oxidase 2
N0.HOG0004887,925.7,11.57125,190.3,14.48183,GPSM1,G protein signaling modulator 1
N0.HOG0004888,1000.2,5.001,142.8,10.7814,CARD9,caspase recruitment domain family member 9
N0.HOG0004889,2394,21.546,774,33.9012,SNAPC4,small nuclear RNA activating complex polypeptide 4
N0.HOG0004890,667,7.0702,266,11.305,ENTR1,endosome associated trafficking regulator 1
N0.HOG0004891,644.8,3.03056,180.2,11.67696,PMPCA,"peptidase, mitochondrial processing subunit alpha"
N0.HOG0004892,1408.5,14.085,310.5,17.91585,INPP5E,inositol polyphosphate-5-phosphatase E
N0.HOG0004893,3550.8,98.35716,1543.2,89.96856,SEC16A,"SEC16 homolog A, endoplasmic reticulum export factor"
