ARHGEF4	N3.HOG0005733
PLCH2	N3.HOG0003446
TTLL10	N3.HOG0014346
VSX1	N3.HOG0014363
LOC116278455	N3.HOG0018675
CERK	N3.HOG0014403
SMC1B	N3.HOG0014412
AGRN	N3.HOG0014371
ARSA	N3.HOG0014376
TRIO	N3.HOG0004891
MIER2	N3.HOG0014464
ATP8B3	N3.HOG0014507
ATP8B3	N3.HOG0014507
CCNB3	N3.HOG0003474
LOC102524687	N3.HOG0018335
VENTX	N3.HOG0018680
KNDC1	N3.HOG0003477
LRRC27	N3.HOG0014544
PIK3C3	N3.HOG0014581
KCP	N3.HOG0014597
HOXA11	N3.HOG0014698
DNAH11	N3.HOG0014723
BBS9	N3.HOG0014668
AHCYL2	N3.HOG0014592
DOCK4	N3.HOG0014651
GARS1	N3.HOG0014682
RTTN	N3.HOG0014744
SCP2D1	N3.HOG0017237
RIN2	N3.HOG0014775
LOC102527980	N3.HOG0017253
LOC102527980	N3.HOG0017253
TAS2R41	N3.HOG0017959
TAS2R41	N3.HOG0017959
LOC102531307	N3.HOG0001068
UBN2	N3.HOG0014818
ZNF746	N3.HOG0014850
REPIN1	N3.HOG0014852
SVOPL	N3.HOG0014813
KIF1A	N3.HOG0014867
AGXT	N3.HOG0014868
LRRC75B	N3.HOG0017258
LOC102537849	N3.HOG0017969
LOC102537849	N3.HOG0017969
NAV1	N3.HOG0014905
LMOD1	N3.HOG0014908
ACAT1	N3.HOG0014927
ANKDD1B	N3.HOG0004744
ANKRD31	N3.HOG0004748
ATRN	N3.HOG0014999
ARHGEF28	N3.HOG0004753
PROKR2	N3.HOG0000743
ADRA1D	N3.HOG0015011
ZNF343	N3.HOG0017974
NLRP6	N3.HOG0015064
PHRF1	N3.HOG0017979
GATD1	N3.HOG0017303
TOLLIP	N3.HOG0015072
MUC5AC	N3.HOG0000535
MTNR1B	N3.HOG0015113
CNTN5	N3.HOG0015131
DDI1	N3.HOG0015149
LOC102540860	N3.HOG0015150
IRS4	N3.HOG0015177
ZC3H12C	N3.HOG0015207
CUNH2orf73	N3.HOG0015220
EML6	N3.HOG0015222
LOC102540795	N3.HOG0015270
ANXA10	N3.HOG0015313
ADAMTS13	N3.HOG0003562
CAMSAP2	N3.HOG0015326
DDX59	N3.HOG0015325
KIF14	N3.HOG0003566
CACNA1S	N3.HOG0015329
TBCD	N3.HOG0003567
HGS	N3.HOG0015353
BAHCC1	N3.HOG0015345
PIK3R6	N3.HOG0015404
ALOX15B	N3.HOG0015385
ALOX15B	N3.HOG0015385
COL19A1	N3.HOG0015412
COL9A1	N3.HOG0015413
ENTPD2	N3.HOG0015445
ABCA2	N3.HOG0015442
SAPCD2	N3.HOG0015446
SLC35G6	N3.HOG0001370
SLC35G6	N3.HOG0001370
SENP3	N3.HOG0015470
TPRA1	N3.HOG0015523
SLC39A12	N3.HOG0015549
SLC39A12	N3.HOG0015549
ASPRV1	N3.HOG0015567
ASPRV1	N3.HOG0015567
ALMS1	N3.HOG0015591
ADD2	N3.HOG0015572
TUT7	N3.HOG0015622
GIGYF1	N3.HOG0015729
SDK1	N3.HOG0015669
TNRC18	N3.HOG0015676
TRRAP	N3.HOG0015696
WIPI2	N3.HOG0015674
BRAT1	N3.HOG0017404
USP42	N3.HOG0017408
PRKAR1B	N3.HOG0015739
MICALL2	N3.HOG0015747
SEMA5A	N3.HOG0004897
SOX14	N3.HOG0003814
ICE1	N3.HOG0004905
LOC102542178	N3.HOG0000883
TERT	N3.HOG0015920
ADAMTSL1	N3.HOG0004953
COL6A5	N3.HOG0003761
LOC102545896	N3.HOG0015777
ZMYND19	N3.HOG0004986
EHMT1	N3.HOG0004988
CACNA1B	N3.HOG0004989
STPG3	N3.HOG0004982
NPHP3	N3.HOG0003796
LOC102533569	N3.HOG0000978
COL27A1	N3.HOG0005148
LHX6	N3.HOG0005169
FOXD4	N3.HOG0001205
LOC102531872	N3.HOG0018446
SNAPC4	N3.HOG0005304
PGAP4	N3.HOG0005102
TAL2	N3.HOG0005110
MUSK	N3.HOG0005126
ALAD	N3.HOG0005143
BRINP1	N3.HOG0005158
WDR38	N3.HOG0015955
SWI5	N3.HOG0015960
SWI5	N3.HOG0015960
DNM1	N3.HOG0005230
NOTCH1	N3.HOG0005309
KIAA2012	N3.HOG0005478
CERKL	N3.HOG0005548
TTN	N3.HOG0005555
HOXD9	N3.HOG0005569
SP5	N3.HOG0005600
NIFK	N3.HOG0005714
TFCP2L1	N3.HOG0005716
DNAJB3	N3.HOG0005340
LRRFIP1	N3.HOG0005325
CHRND	N3.HOG0005349
SP110	N3.HOG0017484
OBSL1	N3.HOG0005388
PRKAG3	N3.HOG0005414
C2CD6	N3.HOG0005473
C2CD6	N3.HOG0005473
ALS2	N3.HOG0005476
ZDBF2	N3.HOG0002306
WIPF1	N3.HOG0005578
LRP2	N3.HOG0005611
FMNL2	N3.HOG0005657
ZEB2	N3.HOG0005671
HDAC4	N3.HOG0005317
RIOX1	N3.HOG0005958
LTB4R2	N3.HOG0002350
SIX4	N3.HOG0005889
HHIPL1	N3.HOG0006066
DYNC1H1	N3.HOG0006080
KIF26A	N3.HOG0006098
CEP170B	N3.HOG0006103
JPH4	N3.HOG0005760
NPAS3	N3.HOG0005784
PCNT	N3.HOG0003652
ACTN1	N3.HOG0005931
LEKR1	N3.HOG0003887
NRXN3	N3.HOG0006015
SPATA7	N3.HOG0016025
SPATA7	N3.HOG0016025
EML5	N3.HOG0002370
TDP1	N3.HOG0006030
MOK	N3.HOG0016028
TECPR2	N3.HOG0006082
PPP1R13B	N3.HOG0006094
LOC102540296	N3.HOG0001784
COL6A1	N3.HOG0003657
VPS13C	N3.HOG0006105
IGDCC4	N3.HOG0006132
WDR63	N3.HOG0006168
UBAP1L	N3.HOG0006126
UBAP1L	N3.HOG0006126
LCTL	N3.HOG0006144
CALML4	N3.HOG0006150
PCLO	N3.HOG0006238
EPDR1	N3.HOG0006277
POLM	N3.HOG0006291
GCK	N3.HOG0006295
DACT2	N3.HOG0016051
IGF2R	N3.HOG0006320
DCBLD1	N3.HOG0006458
CALHM6	N3.HOG0006468
RFPL4B	N3.HOG0018103
LOC102530927	N3.HOG0018462
ROS1	N3.HOG0006459
ROS1	N3.HOG0006459
PRDM1	N3.HOG0006510
GABRR2	N3.HOG0000686
GABRR2	N3.HOG0000686
CHIA	N3.HOG0006594
BTLA	N3.HOG0018050
BTLA	N3.HOG0018050
CELSR2	N3.HOG0006624
FRRS1	N3.HOG0006656
F3	N3.HOG0016087
LOC102532155	N3.HOG0006736
ABCC11	N3.HOG0016090
CHD9	N3.HOG0006764
RSPRY1	N3.HOG0006788
FBXL8	N3.HOG0006828
HEATR3	N3.HOG0006754
NKD1	N3.HOG0006758
NKD1	N3.HOG0006758
IRX3	N3.HOG0006769
CTRL	N3.HOG0016102
ZFHX3	N3.HOG0006884
CRISPLD2	N3.HOG0006947
CFAP410	N3.HOG0003667
C10H11orf16	N3.HOG0016126
LOC116282027	N3.HOG0007094
LOC102535146	N3.HOG0001231
DRD3	N3.HOG0003980
C10H11orf91	N3.HOG0006972
BDNF	N3.HOG0006992
USH1C	N3.HOG0007024
ABCC8	N3.HOG0007025
DCHS1	N3.HOG0007078
ACER3	N3.HOG0007168
XXYLT1	N3.HOG0004083
COG2	N3.HOG0007219
ACTA1	N3.HOG0007225
TRPM2	N3.HOG0003666
ZNF331	N3.HOG0016204
LOC116282192	N3.HOG0000276
CEACAM18	N3.HOG0017548
CLEC11A	N3.HOG0007455
LOC107033928	N3.HOG0000898
IGLON5	N3.HOG0002556
SBK2	N3.HOG0007484
ZNF524	N3.HOG0007485
LOC102539540	N3.HOG0002520
LOC102527004	N3.HOG0007229
LOC102527004	N3.HOG0007229
SIPA1L3	N3.HOG0007230
CEACAM1	N3.HOG0000518
CIC	N3.HOG0007295
LOC102526970	N3.HOG0000517
RELB	N3.HOG0007325
CCDC9	N3.HOG0007370
KCNJ14	N3.HOG0007392
IL4I1	N3.HOG0002551
HSPBP1	N3.HOG0007474
CAPN12	N3.HOG0002524
NCCRP1	N3.HOG0007246
SELENOV	N3.HOG0007257
SELENOV	N3.HOG0007257
LOC102541423	N3.HOG0018118
PPP1R37	N3.HOG0007327
PPM1N	N3.HOG0016178
BHMG1	N3.HOG0007345
LMTK3	N3.HOG0007394
LOC102524808	N3.HOG0016193
SHANK1	N3.HOG0007454
GPR32	N3.HOG0018123
GPR32	N3.HOG0018123
LOC116282285	N3.HOG0016206
GP6	N3.HOG0018488
PEG3	N3.HOG0017560
HK1	N3.HOG0007515
ADAMTS14	N3.HOG0007529
ZNF503	N3.HOG0007571
PTPN20	N3.HOG0001101
PTPN20	N3.HOG0001101
GRID1	N3.HOG0007588
WDFY4	N3.HOG0007599
LIPA	N3.HOG0007640
TACC2	N3.HOG0007676
DNMT3L	N3.HOG0015758
PKD2L1	N3.HOG0007797
CHUK	N3.HOG0007799
CNNM1	N3.HOG0007810
GRASP	N3.HOG0007900
LOC102540953	N3.HOG0017573
C12H12orf42	N3.HOG0018141
CCDC38	N3.HOG0008083
MAP3K12	N3.HOG0007868
SP7	N3.HOG0007873
LOC102545800	N3.HOG0018498
DDN	N3.HOG0007945
UTP20	N3.HOG0008066
DEPDC4	N3.HOG0017576
PHLDA1	N3.HOG0008130
BEST3	N3.HOG0008146
LRRIQ1	N3.HOG0008110
OTOGL	N3.HOG0008120
NAV3	N3.HOG0008124
ISX	N3.HOG0016283
SUOX	N3.HOG0008182
ZDHHC19	N3.HOG0004102
ERICH3	N3.HOG0016288
C13H1orf141	N3.HOG0016286
LOC102526346	N3.HOG0002625
CEP104	N3.HOG0008240
CAMTA1	N3.HOG0008260
TNFRSF9	N3.HOG0016292
CLSTN1	N3.HOG0008271
C13H1orf127	N3.HOG0017596
C13H1orf127	N3.HOG0017596
C13H1orf167	N3.HOG0016298
ZBTB17	N3.HOG0008314
PLEKHG5	N3.HOG0008253
DNAJC11	N3.HOG0008259
PER3	N3.HOG0018502
ERRFI1	N3.HOG0008263
H6PD	N3.HOG0016294
SPEN	N3.HOG0008313
SH2D5	N3.HOG0008351
HSPG2	N3.HOG0008358
SRSF4	N3.HOG0008441
PUM1	N3.HOG0008447
ZBTB21	N3.HOG0003683
SHROOM3	N3.HOG0004329
COL8A2	N3.HOG0008510
LOC102528226	N3.HOG0017607
CCDC17	N3.HOG0008602
MKNK1	N3.HOG0008615
PARS2	N3.HOG0008669
JUN	N3.HOG0008682
PATJ	N3.HOG0008688
CCDC168	N3.HOG0008712
RBM26	N3.HOG0008744
KCTD12	N3.HOG0008753
FAM124A	N3.HOG0008814
THSD1	N3.HOG0008825
BRCA2	N3.HOG0008847
N4BP2L1	N3.HOG0008846
SPATA13	N3.HOG0008872
SKA3	N3.HOG0008879
LOC102537439	N3.HOG0002682
DCLK1	N3.HOG0008841
ALLC	N3.HOG0016378
ITGB1BP1	N3.HOG0008906
LOC102526472	N3.HOG0000506
NT5C1B	N3.HOG0002706
SLC2A9	N3.HOG0004175
SLC2A9	N3.HOG0004175
GDF7	N3.HOG0008939
GDF7	N3.HOG0008939
KLHL29	N3.HOG0008941
PREB	N3.HOG0008977
PHOX2B	N3.HOG0004236
SNTG2	N3.HOG0002701
PXDN	N3.HOG0008893
GREB1	N3.HOG0008921
NBAS	N3.HOG0008925
SULT6B1	N3.HOG0009026
TLX2	N3.HOG0009058
SEMA4F	N3.HOG0009052
LOC102531346	N3.HOG0018508
CUBN	N3.HOG0002719
VEZF1	N3.HOG0009081
MPO	N3.HOG0000704
HEATR9	N3.HOG0002741
BRIP1	N3.HOG0009111
ATAD5	N3.HOG0009149
SEZ6	N3.HOG0009186
MYO18A	N3.HOG0016416
MYO18A	N3.HOG0016416
TP53I13	N3.HOG0009191
NOP14	N3.HOG0004142
PLEKHM1	N3.HOG0001905
FMNL1	N3.HOG0009226
HSD17B1	N3.HOG0016429
NT5C3B	N3.HOG0018516
SCN4A	N3.HOG0009319
ABCA9	N3.HOG0009345
ABCA9	N3.HOG0009345
SOX9	N3.HOG0001106
KSR1	N3.HOG0009157
CPD	N3.HOG0009199
PRPF8	N3.HOG0002756
BPTF	N3.HOG0009326
BPTF	N3.HOG0009326
FOXJ1	N3.HOG0009403
USP36	N3.HOG0009425
USP36	N3.HOG0009425
ENPP7	N3.HOG0009432
CBX2	N3.HOG0009433
TRPV2	N3.HOG0009445
B9D1	N3.HOG0009461
FLII	N3.HOG0002785
MYO15A	N3.HOG0009466
RAI1	N3.HOG0009473
TOP3A	N3.HOG0002783
LLGL1	N3.HOG0002786
KRTAP29-1	N3.HOG0016450
SRCIN1	N3.HOG0002800
HOXB3	N3.HOG0009548
HAP1	N3.HOG0009475
LOC102527297	N3.HOG0016449
TTLL6	N3.HOG0009553
TTLL6	N3.HOG0009553
PRRT3	N3.HOG0009608
ITPR1	N3.HOG0009630
CHDH	N3.HOG0009692
RTP3	N3.HOG0018520
RTP3	N3.HOG0018520
XPC	N3.HOG0009574
CAND2	N3.HOG0009587
IL17RE	N3.HOG0009611
ATXN7	N3.HOG0009658
FEZF2	N3.HOG0009661
PARP3	N3.HOG0009717
PARP3	N3.HOG0009717
RBM15B	N3.HOG0009725
USP19	N3.HOG0009774
PTPN23	N3.HOG0009803
LOC102528587	N3.HOG0000777
KLHL40	N3.HOG0009838
LOC116284012	N3.HOG0016479
NTN3	N3.HOG0009934
ECI1	N3.HOG0009937
ECI1	N3.HOG0009937
LOC102535904	N3.HOG0017657
LOC102535904	N3.HOG0017657
LOC102524934	N3.HOG0017660
NUDT16L1	N3.HOG0009900
CREBBP	N3.HOG0009907
MMP25	N3.HOG0009918
HCFC1R1	N3.HOG0002853
AMDHD2	N3.HOG0009932
DNASE1L2	N3.HOG0009938
CASKIN1	N3.HOG0009943
RNF151	N3.HOG0009953
TELO2	N3.HOG0009969
FBXL16	N3.HOG0009981
RAB40C	N3.HOG0009991
PRR35	N3.HOG0009993
SRRM3	N3.HOG0010049
PRSS36	N3.HOG0010102
MOGAT3	N3.HOG0016518
HSPB1	N3.HOG0010048
METTL27	N3.HOG0010068
LOC102539956	N3.HOG0018182
FBRS	N3.HOG0010121
SLX1A	N3.HOG0002883
SLX1A	N3.HOG0002883
DNAH3	N3.HOG0010188
GPR139	N3.HOG0010200
GPR139	N3.HOG0010200
ATP10D	N3.HOG0015835
ATP10D	N3.HOG0015835
COL20A1	N3.HOG0010234
GATA5	N3.HOG0016544
SS18L1	N3.HOG0010249
CTSZ	N3.HOG0010256
GNAS	N3.HOG0010258
PCK1	N3.HOG0010265
BCAS1	N3.HOG0010276
ADNP	N3.HOG0010284
SNX21	N3.HOG0010323
CDK5RAP1	N3.HOG0010421
ASXL1	N3.HOG0010433
CSNK2A1	N3.HOG0002941
HELZ2	N3.HOG0016540
HELZ2	N3.HOG0016540
RBBP8NL	N3.HOG0010246
JPH2	N3.HOG0010348
PXDC1	N3.HOG0016579
HIVEP1	N3.HOG0010485
LOC116284402	N3.HOG0018548
ZSCAN31	N3.HOG0016593
FAM50B	N3.HOG0016580
FAM217A	N3.HOG0017690
DSP	N3.HOG0010471
BMP6	N3.HOG0010473
BMP6	N3.HOG0010473
OFCC1	N3.HOG0017692
OFCC1	N3.HOG0017692
PRRT1	N3.HOG0001032
LOC102534551	N3.HOG0010536
MDC1	N3.HOG0001025
LOC102533895	N3.HOG0017703
TSPO2	N3.HOG0010597
TSPO2	N3.HOG0010597
TJAP1	N3.HOG0010634
DST	N3.HOG0010698
C20H6orf132	N3.HOG0010610
C21H1orf112	N3.HOG0010745
ASTN1	N3.HOG0010773
RNF166	N3.HOG0010818
LIX1L	N3.HOG0010846
OTUD7B	N3.HOG0010854
ADAMTSL4	N3.HOG0010865
ADAR	N3.HOG0010928
FAM189B	N3.HOG0002996
ARHGEF2	N3.HOG0010955
ZNF469	N3.HOG0010823
MTHFD2L	N3.HOG0004346
LOC102528105	N3.HOG0003040
LOC102528105	N3.HOG0003040
FLT4	N3.HOG0011036
GRK6	N3.HOG0011055
UNC5A	N3.HOG0011067
ATP6V0E1	N3.HOG0011090
IL12RB1	N3.HOG0016707
TMEM221	N3.HOG0016710
RASAL3	N3.HOG0011194
MISP3	N3.HOG0011213
TNPO2	N3.HOG0011233
CCDC159	N3.HOG0011275
RGL3	N3.HOG0011278
DPP9	N3.HOG0011336
TLE2	N3.HOG0011374
COL23A1	N3.HOG0011045
TMPRSS11A	N3.HOG0004366
BST2	N3.HOG0018569
ZSWIM4	N3.HOG0003031
CACNA1A	N3.HOG0011216
TSPAN16	N3.HOG0016743
TSPAN16	N3.HOG0016743
CAMSAP3	N3.HOG0011307
ARHGEF18	N3.HOG0011311
ZNRF4	N3.HOG0016764
TMIGD2	N3.HOG0016769
ZNF358	N3.HOG0011309
ANGPTL4	N3.HOG0011292
ZC3H11A	N3.HOG0001963
C23H1orf116	N3.HOG0011389
LOC102542917	N3.HOG0003053
GRID2	N3.HOG0004378
CENPF	N3.HOG0011456
ASPM	N3.HOG0011539
LAMA1	N3.HOG0011571
MPPE1	N3.HOG0011558
ANKRD12	N3.HOG0011566
ZNF521	N3.HOG0011606
KCNQ3	N3.HOG0011651
ADGRB1	N3.HOG0011669
PSCA	N3.HOG0016812
ZFP41	N3.HOG0018576
TIGD5	N3.HOG0003077
SCRIB	N3.HOG0003084
SCRIB	N3.HOG0003084
LOC102528709	N3.HOG0017785
TG	N3.HOG0011655
GLI4	N3.HOG0016813
ZNF517	N3.HOG0018577
CXXC4	N3.HOG0004409
HSF1	N3.HOG0003090
TH	N3.HOG0011988
IFITM10	N3.HOG0003134
ARHGAP1	N3.HOG0011729
TNKS1BP1	N3.HOG0001972
TMEM132A	N3.HOG0011793
INCENP	N3.HOG0011817
UBXN1	N3.HOG0011825
SLC3A2	N3.HOG0011836
MACROD1	N3.HOG0011847
SLC22A12	N3.HOG0016846
SLC22A12	N3.HOG0016846
AP5B1	N3.HOG0011901
SNX32	N3.HOG0016850
TSGA10IP	N3.HOG0011912
PELI3	N3.HOG0011933
KDM2A	N3.HOG0011947
ANO1	N3.HOG0011981
SHANK2	N3.HOG0011982
SMTNL1	N3.HOG0011763
LOC102534138	N3.HOG0017791
ZP1	N3.HOG0018586
ZP1	N3.HOG0018586
C25H11orf95	N3.HOG0011841
KCNK4	N3.HOG0011858
EHBP1L1	N3.HOG0011895
LOC102543741	N3.HOG0011986
TMEM64	N3.HOG0011992
NIPAL2	N3.HOG0012023
VPS13B	N3.HOG0012027
RUNX1T1	N3.HOG0011997
DPY19L4	N3.HOG0012007
SPAG1	N3.HOG0012030
CSMD3	N3.HOG0003142
HELT	N3.HOG0012123
DLGAP2	N3.HOG0001692
IRF2	N3.HOG0012118
FAM149A	N3.HOG0016869
LOC102544841	N3.HOG0016880
SLC20A2	N3.HOG0012204
NOX5	N3.HOG0016882
NOX5	N3.HOG0016882
ADAMTS7	N3.HOG0012290
LOC102534292	N3.HOG0001693
LOC102534292	N3.HOG0001693
MAN2C1	N3.HOG0012256
SCAPER	N3.HOG0012270
UBE2Q2	N3.HOG0012275
IDH3A	N3.HOG0012286
CTSH	N3.HOG0012291
AP3B2	N3.HOG0012314
PLIN1	N3.HOG0012345
LONRF2	N3.HOG0012424
FER1L5	N3.HOG0012445
FER1L5	N3.HOG0012445
ACOXL	N3.HOG0012463
ACOXL	N3.HOG0012463
DNAH6	N3.HOG0012504
ARID5A	N3.HOG0012447
PSD4	N3.HOG0016907
SGK3	N3.HOG0003191
SCOC	N3.HOG0001787
C29H8orf34	N3.HOG0012565
ST18	N3.HOG0012519
ST18	N3.HOG0012519
PREX2	N3.HOG0012564
ZFHX4	N3.HOG0012587
LOC102525358	N3.HOG0016923
LOC102525358	N3.HOG0016923
SLC10A5	N3.HOG0012598
GAB1	N3.HOG0004502
FREM3	N3.HOG0002206
PRSS55	N3.HOG0003211
RP1L1	N3.HOG0016937
RP1L1	N3.HOG0016937
CHMP7	N3.HOG0012704
SOX7	N3.HOG0003213
CBR4	N3.HOG0012746
CCDC157	N3.HOG0012752
XBP1	N3.HOG0012770
